 reflex004-mgt-01.cloud.in.guavus.com , 2020-04-06_07-43, PING SUCEESS[P], SSH SUCEESS[P], Red Hat , KVM , 24b251d4-c0ba-4448-91a5-a831999fefe5 , RHEL 7.0.0 PC (i440FX + PIIX 1996) , 3.10.0-957.21.3.el7.x86_64 , x86_64 , 0.5.1 , 8 , 2000 MHz , 31 , 2 , 115 , 7.6.1810[P] , reflex004-mgt-01[P] , UTC[P] ,  yes[P] , 192.168.133.32/22[P] , Disabled[P] , static[P] , Not_Running[P] , [P] , 1500[P] , 30[P] , 70[P] , 0[F] , DMESG_FAIL_COUNT=2[F] , [always] madvise never[P] , Installed-2.6.5.0-292[P], Installed-2.6.5.0-292[P], [F], Installed[P], running[P], running.[P], Not-Running[F], Not-Running[F], Not-Running[F]
 reflex004-mst-01.cloud.in.guavus.com , 2020-04-06_07-43, PING SUCEESS[P], SSH SUCEESS[P], Red Hat , KVM , 1a2e5738-3fdb-4fe8-8c9d-d9c21c490e28 , RHEL 7.0.0 PC (i440FX + PIIX 1996) , 3.10.0-957.21.3.el7.x86_64 , x86_64 , 0.5.1 , 12 , 2000 MHz , 41 , 2 , 115 , 7.6.1810[P] , reflex004-mst-01[P] , UTC[P] ,  yes[P] , 192.168.133.197/22[P] , Permissive[P] , static[P] , Not_Running[P] , [P] , 1500[P] , 30[P] , 70[P] , 0[F] , DMESG_FAIL_COUNT=2[F] , [always] madvise never[P] , Installed-2.6.5.0-292[P], Installed-2.6.5.0-292[P], [F], Installed[P], not[F], running.[P], Not-Running[F], Not-Running[F], Not-Running[F]
 reflex005-slv-02.cloud.in.guavus.com , 2020-04-06_07-43, PING SUCEESS[P], SSH SUCEESS[P], Red Hat , KVM , 0590f9d8-c390-47b2-a7bb-15c7e5bd8297 , RHEL 7.0.0 PC (i440FX + PIIX 1996) , 3.10.0-957.21.3.el7.x86_64 , x86_64 , 0.5.1 , 12 , 2000 MHz , 41 , 5 , 637 , 7.6.1810[P] , reflex005-slv-02[P] , UTC[P] ,  yes[P] , 192.168.134.186/22[P] , Disabled[P] , static[P] , Not_Running[P] , [P] , 1500[P] , 30[P] , 70[P] , 0[F] , DMESG_FAIL_COUNT=3[F] , [always] madvise never[P] , Installed-2.6.5.0-292[P], Installed-2.6.5.0-292[P], [F], Installed[P], not[F], running.[P], Running[P], Running[P], Not-Running[F]
